"","X","STATE","YEAR","CASES","RECIPIENTS","CHILDREN","ADULTS","POPULATION","RATE","UNEMPLOYMENT","BELOW.POV","GDP","MEDIAN.INCOME","INC.LIM.1","INC.LIM.13","AFDC.LIM.1","AFDC.LIM.13","LIM.CHANGE.1","LIM.CHANGE.13","HR.100","WAIT.30","WRK.HIST","MO.24.RED","T.60","NO.T","T.LIM.YR","WORK.EXEMPT","W.E.DATE","SANC.1","SANC.DATE","WORK.REC.97","BEN.97","BEN.96","FAM.CAP","INC.LIM.1quint","LIM.CHANGE.1quint"
"1",1,"ALABAMA",1990,45571,130531,93037,37493,4050055,0.032229439,6.8,779000,71610,44991,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"2",2,"ALABAMA",1991,48412,137888,97839,40048,4099156,0.033638144,7.3,786000,76043,45250,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"3",3,"ALABAMA",1992,51033,141915,100878,41037,4154014,0.034163342,7.6,729000,81260,46803,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"4",4,"ALABAMA",1993,51520,138465,99451,39013,4214202,0.032856754,7.3,725000,84563,44368,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"5",5,"ALABAMA",1994,49578,129222,94110,35112,4260229,0.030332172,6.2,704000,90098,47123,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"6",6,"ALABAMA",1995,44895,113971,84629,29342,4296800,0.026524623,6,882000,95819,43976,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"7",7,"ALABAMA",1996,41303,101772,77144,24629,4331102,0.023497946,5.2,595000,100146,49940,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"8",8,"ALABAMA",1997,NA,77096,NA,NA,4367935,0.017650446,5,665000,104812,51524,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"9",9,"ALABAMA",1998,NA,54164,NA,NA,4404701,0.012296862,4.4,609000,110212,57723,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"10",10,"ALABAMA",1999,NA,46786,NA,NA,4430141,0.010560838,4.7,668000,115680,56496,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"11",11,"ALABAMA",2000,NA,45059,36200,8859,4452173,0.010120676,4.6,583000,119852,53395,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"12",12,"ALABAMA",2001,NA,43510,34771,8739,4467634,0.009738936,5.1,696000,122916,51530,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"13",13,"ALABAMA",2002,NA,42451,33757,8694,4480089,0.009475481,5.9,640000,127505,54255,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"14",14,"ALABAMA",2003,NA,45541,35771,9770,4503491,0.010112377,6,663000,134153,52560,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"15",15,"ALABAMA",2004,NA,45951,35904,10047,4530729,0.010142076,5.7,762000,147715,50317,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"16",16,"ALABAMA",2005,NA,47056,36500,10555,4569805,0.010297157,4.5,750000,158847,49361,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"17",17,"ALABAMA",2006,NA,44541,34668,9873,4628981,0.009622204,4,650000,166469,48843,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"18",18,"ALABAMA",2007,NA,42176,32800,9376,4672840,0.009025774,4,662000,172975,52827,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"19",19,"ALABAMA",2008,NA,40836,31659,9178,4718206,0.008654985,5.7,675000,174526,53602,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"20",20,"ALABAMA",2009,NA,44997,34244,10753,4757938,0.009457248,11,770000,170931,48351,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"21",21,"ALABAMA",2010,NA,53488,39723,13766,4785437,0.011177245,10.5,812000,177249,48701,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"22",22,"ALABAMA",2011,NA,55973,41198,14775,4799069,0.011663304,9.6,732000,183917,49123,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"23",23,"ALABAMA",2012,NA,50691,37346,13345,4815588,0.01052644,8,777000,189246,49092,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"24",24,"ALABAMA",2013,NA,46161,34335,11826,4830081,0.009556983,7.2,891000,194787,52667,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"25",25,"ALABAMA",2014,NA,38537,29111,9426,4841799,0.007959232,6.8,848000,197407,46272,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"26",26,"ALABAMA",2015,NA,30087,23392,6694,4852347,0.006200505,6.1,784000,202372,48629,NA,210,370,250,NA,-40,0,0,0,0,0,0,96,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,"5","5"
"27",27,"ALASKA",1990,7989,21282,13806,7476,553290,0.038464458,7.2,57000,25040,75697,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"28",28,"ALASKA",1991,9817,28026,17579,10446,570193,0.049151778,8.5,62000,22282,75482,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"29",29,"ALASKA",1992,11161,33106,20985,12121,588736,0.056232335,8.9,58000,22753,75808,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"30",30,"ALASKA",1993,12363,37078,23473,13605,599432,0.061855223,7.7,52000,23284,75941,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"31",31,"ALASKA",1994,12722,37798,23963,13834,603308,0.062651249,7.6,61000,23605,78609,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"32",32,"ALASKA",1995,12230,36257,23207,13050,604412,0.059987227,7.3,45000,25449,81137,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"33",33,"ALASKA",1996,12366,36532,23433,13099,608569,0.060029348,7.6,54000,26737,86984,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"34",34,"ALASKA",1997,NA,34434,NA,NA,612968,0.056175853,7.1,56000,25811,77424,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"35",35,"ALASKA",1998,NA,29599,NA,NA,619932,0.047745559,6.3,60000,24228,80684,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"36",36,"ALASKA",1999,NA,24878,NA,NA,624779,0.03981888,6.5,48000,24744,80099,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"37",37,"ALASKA",2000,NA,20887,14088,6800,627963,0.033261514,6.4,47000,26807,79657,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"38",38,"ALASKA",2001,NA,17192,11652,5540,633714,0.027128957,6.4,54000,28494,84071,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"39",39,"ALASKA",2002,NA,17219,11666,5553,642337,0.026806801,7.3,56000,29757,76145,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"40",40,"ALASKA",2003,NA,14749,9815,4684,648414,0.02274627,7.8,62000,32038,73132,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"41",41,"ALASKA",2004,NA,13514,9195,4319,659286,0.020497933,7.5,59000,35302,75640,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"42",42,"ALASKA",2005,NA,11335,7724,3612,666946,0.016995379,6.9,66000,40357,74262,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"43",43,"ALASKA",2006,NA,9565,6595,2971,675302,0.014164033,6.6,58000,45094,72608,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"44",44,"ALASKA",2007,NA,8435,5842,2593,680300,0.012398942,6.3,51000,49584,78834,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"45",45,"ALASKA",2008,NA,7905,5509,2396,687455,0.011498934,6.7,55000,55122,77119,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"46",46,"ALASKA",2009,NA,8553,5933,2620,698895,0.01223789,7.7,81000,49958,74503,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"47",47,"ALASKA",2010,NA,9251,6349,2902,713910,0.012958216,7.9,87000,53332,68825,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"48",48,"ALASKA",2011,NA,10196,6921,3276,722128,0.01411938,7.6,83000,56896,66241,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"49",49,"ALASKA",2012,NA,10149,6873,3276,730443,0.013894308,7.1,70000,58284,71889,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"50",50,"ALASKA",2013,NA,9464,6398,3065,737068,0.012840064,7,67000,57248,80661,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"51",51,"ALASKA",2014,NA,9274,6246,3029,736283,0.0125957,6.9,82000,56485,74017,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"52",52,"ALASKA",2015,NA,8335,5653,2682,737498,0.011301726,6.5,65000,51491,82066,1740,1560,1660,1120,80,440,0,0,0,0,0,0,97,"12","AFTER 8/96","PARTIAL","AFTER 8/96","0",923,923,0,"5","4"
"53",53,"ARIZONA",1990,45545,130404,91114,39290,3684097,0.035396462,5.3,484000,70632,56292,590,590,640,440,-50,150,0,0,1,1,0,0,96,"12","1/92 - 8/96","PARTIAL","AFTER 8/96","0",347,347,1,"1","1"
"54",54,"ARIZONA",1991,55556,158902,110655,48247,3788576,0.041942408,5.9,532000,73358,57128,590,590,640,440,-50,150,0,0,1,1,0,0,96,"12","1/92 - 8/96","PARTIAL","AFTER 8/96","0",347,347,1,"1","1"
"55",55,"ARIZONA",1992,65457,185045,128777,56268,3915740,0.047256713,7.5,607000,82682,53241,590,590,640,440,-50,150,0,0,1,1,0,0,96,"12","1/92 - 8/96","PARTIAL","AFTER 8/96","0",347,347,1,"1","1"
"56",56,"ARIZONA",1993,71022,199153,135112,64042,4065440,0.048986826,6.4,615000,89300,53969,590,590,640,440,-50,150,0,0,1,1,0,0,96,"12","1/92 - 8/96","PARTIAL","AFTER 8/96","0",347,347,1,"1","1"
