"","STATE","YEAR","CASES","RECIPIENTS","CHILDREN","ADULTS","POPULATION","RATE","UNEMPLOYMENT","BELOW.POV","GDP","MEDIAN.INCOME","INC.LIM.1","INC.LIM.13","AFDC.LIM.1","AFDC.LIM.13","LIM.CHANGE.1","LIM.CHANGE.13","HR.100","WAIT.30","WRK.HIST","MO.24.RED","T.60","NO.T","T.LIM.YR","WORK.EXEMPT","W.E.DATE","SANC.1","SANC.DATE","WORK.REQ.97","BEN.97","BEN.96","FAM.CAP","INC.LIM.1quint","LIM.CHANGE.1quint","BEN.CHANGE","JOBS.WAIVER","SACTIONS.WAIVER","TERMINATION.WAIVER","WORK.REQ","GDP.K","BELOW.POV.RATE","R.SCORE","W.SCORE","MED.INC.K"
"1","ALABAMA",1990,45571,130531,93037,37493,4050055,3.2229439,6.8,779000,71610,44991,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,71.61,0.192343066946004,"1","1",44.991
"2","ALABAMA",1991,48412,137888,97839,40048,4099156,3.3638144,7.3,786000,76043,45250,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,76.043,0.191746788851168,"1","1",45.25
"3","ALABAMA",1992,51033,141915,100878,41037,4154014,3.4163342,7.6,729000,81260,46803,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,81.26,0.175492908786538,"1","1",46.803
"4","ALABAMA",1993,51520,138465,99451,39013,4214202,3.2856754,7.3,725000,84563,44368,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,84.563,0.172037315724306,"1","1",44.368
"5","ALABAMA",1994,49578,129222,94110,35112,4260229,3.0332172,6.2,704000,90098,47123,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,90.098,0.165249332841028,"1","1",47.123
"6","ALABAMA",1995,44895,113971,84629,29342,4296800,2.6524623,6,882000,95819,43976,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,95.819,0.205269037423199,"1","1",43.976
"7","ALABAMA",1996,41303,101772,77144,24629,4331102,2.3497946,5.2,595000,100146,49940,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,100.146,0.137378431632411,"1","1",49.94
"8","ALABAMA",1997,NA,77096,NA,NA,4367935,1.7650446,5,665000,104812,51524,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,104.812,0.152245855306913,"1","1",51.524
"9","ALABAMA",1998,NA,54164,NA,NA,4404701,1.2296862,4.4,609000,110212,57723,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,110.212,0.138261371203176,"1","1",57.723
"10","ALABAMA",1999,NA,46786,NA,NA,4430141,1.0560838,4.7,668000,115680,56496,NA,210,370,250,NA,-40,0,0,0,0,0,0,"96","12","AFTER 8/96","PARTIAL","AFTER 8/96","0",164,164,0,5,5,0,1,0,0,0,115.68,0.150785268459853,"1","1",56.496
